thai_name,thai_script,english_name,description,region,image_url,category
Pla Rad Thot Kratiem,ปลาแรดทอดกระเทียม,Fried Giant Gourami with Garlic,"Golden fried giant gourami served with crispy garlic, offering a fragrant and savory flavor.",Central,,Seafood dishes
Pla Rad Kua Prik Kluea,ปลาแรดคั่วพริกเกลือ,Giant Gourami with Chili and Salt,"Crispy giant gourami stir-fried with garlic, chili, and salt for a spicy and aromatic taste.",Central,,Stir-fried dishes
Pla Rad Sos Makham,ปลาแรดซอสมะขาม,Giant Gourami with Tamarind Sauce,"Fried giant gourami topped with a sweet and tangy tamarind sauce, garnished with fried shallots and chilies.",Central,,Deep-fried dishes
Chu Chi,ผัดฉ่า/ฉู่ฉี่ปลาแรด,Chu Chi Curry,"A rich Thai curry dish made with red curry paste, coconut milk, and fish or seafood. It is thick, aromatic, and slightly sweet with a spicy kick.",Central,https://www.ajinomoto.co.th/storage/photos/shares/Recipe/Menu/Lot5-15/61fa995f1a019.jpg,Curries
Tom Yam,ต้มยำปลาแรด,Tom Yam,"Thailand’s world-famous hot and sour soup, made with shrimp or other proteins, lemongrass, galangal, kaffir lime leaves, and chilies. It is spicy, tangy, and fragrant.",Central,https://assets.unileversolutions.com/recipes-v2/242154.png,Soups
Kaeng Paa,แกงป่าปลาแรด,Jungle Curry,"A traditional Thai curry without coconut milk, made with a variety of wild herbs, vegetables, and meat. It is intensely spicy, aromatic, and watery in texture, reflecting its forest origins.",Central,https://img.wongnai.com/p/1968x0/2018/10/12/4c9d9603a08a4c1b9dbb8454101c96b0.jpg,Curries
Gaeng Pla Rad Bai Yor,แกงปลาแรดใบยอ,Curry with Giant Gourami and Moringa Leaves,"A spicy Thai curry made with giant gourami fish and moringa leaves, combining rich herbal notes with a slightly bitter undertone.",Central,,Curries
Tom Yam,ต้มยำปลาคัง,Tom Yam,"Thailand’s world-famous hot and sour soup, made with shrimp or other proteins, lemongrass, galangal, kaffir lime leaves, and chilies. It is spicy, tangy, and fragrant.",Central,https://assets.unileversolutions.com/recipes-v2/242154.png,Soups
Pla Kang Kua Prik Glua,ปลาคังคั่วพริกเกลือ,Stir-fried Catfish with Chili and Salt,"Catfish stir-fried with garlic, chili, and salt for a spicy, savory flavor with a crispy texture.",Central,,Seafood dishes
Pla Kang Tod Kratiem,ปลาคังทอดกระเทียม,Deep-fried Catfish with Garlic,"Catfish deep-fried until golden and crispy, topped with fried garlic for an aromatic finish.",Central,,Seafood dishes
Chu Chi,ผัดฉ่า/ฉู่ฉี่ปลาคัง,Chu Chi Curry,"A rich Thai curry dish made with red curry paste, coconut milk, and fish or seafood. It is thick, aromatic, and slightly sweet with a spicy kick.",Central,https://www.ajinomoto.co.th/storage/photos/shares/Recipe/Menu/Lot5-15/61fa995f1a019.jpg,Curries
Pla Kang Luak Jim,ปลาคังลวกจิ้ม,Blanched Catfish with Dipping Sauce,"Catfish lightly boiled and served with a spicy dipping sauce, highlighting the natural flavor of the fish.",Central,,Seafood dishes
Kaeng Paa,แกงป่าปลาคัง,Jungle Curry,"A traditional Thai curry without coconut milk, made with a variety of wild herbs, vegetables, and meat. It is intensely spicy, aromatic, and watery in texture, reflecting its forest origins.",Central,https://img.wongnai.com/p/1968x0/2018/10/12/4c9d9603a08a4c1b9dbb8454101c96b0.jpg,Curries
Kaeng Khiao Wan,เขียวหวาน,Green Curry,"One of Thailand’s most famous curries, made with green curry paste, coconut milk, and meat such as chicken or beef. It is aromatic, spicy, and slightly sweet from the coconut milk.",Central,https://recipe.sgethai.com/wp-content/uploads/2025/02/030225-chicken-green-curry-cover.webp,Curries
Pla Kang Pad Haeng,ปลาคังผัดแห้ง,Stir-fried Dry Catfish,"Catfish stir-fried without broth, seasoned with herbs and spices to create a dry and flavorful dish.",Central,,Seafood dishes
Tom Yam,"ต้มยำทะเลใส,ข้น",Tom Yam,"Thailand’s world-famous hot and sour soup, made with shrimp or other proteins, lemongrass, galangal, kaffir lime leaves, and chilies. It is spicy, tangy, and fragrant.",Central,https://assets.unileversolutions.com/recipes-v2/242154.png,Soups
Goong Pad Kapi,กุ้งผัดกะปิ,Shrimp Stir-fried with Shrimp Paste,"Shrimp stir-fried with aromatic shrimp paste, chili, and herbs for a bold and savory flavor.",Central,,Seafood dishes
Phat Phong Kari,ทะเลผัดผงกะหรี่,Phat Phong Kari,"A Thai stir-fried curry dish with curry powder, egg, onion, celery, and meat or seafood, most famously crab. It is rich, savory, and mildly spicy.",Central,https://img.wongnai.com/p/1920x0/2018/07/12/5342a685462c482ba182732eca9d0ceb.jpg,Meat dishes
Goong Thot Kratiem,กุ้งทอดกระเทียม,Fried Shrimp with Garlic,Shrimp fried until golden and tossed with crispy garlic for a fragrant and savory dish.,Central,,Seafood dishes
