thai_name,thai_script,english_name,description,region,image_url,category
Krating Daeng,กระทิงแดง,Thai red bull,An energy drink and the origin of Red Bull .,,,Drinks
Kraya sat,กระยาสารท,Kraya sat,Wafers or chunks of rice candy with beans and sesame. Often prepared as an offering to the monks .,,,Sweet snacks and desserts
Krapao Moo Pa,กระเพราหมูป่า,Stir-fried Wild Boar with Holy Basil,"A spicy stir-fry of wild boar meat with holy basil, chili, and garlic, known for its bold flavors.",Central,,Stir-fried dishes
Krapao Gai / Moo,"กระเพราไก่,หมู",Stir-fried Chicken or Pork with Holy Basil,"A classic Thai dish of chicken or pork stir-fried with holy basil, chili, and garlic, served over rice.",Central,,Stir-fried dishes
Krapao Pla Nam Daeng,กระเพาะปลาน้ำแดง,Fish Maw in Red Gravy,A savory soup made with fish maw stewed in a thick red-brown sauce with mushrooms and seasonings.,Central,,Soups
Krapao Pla Pad Goong,กระเพาะปลาผัดกุ้ง,Stir-fried Fish Maw with Shrimp,"Fish maw stir-fried with shrimp, vegetables, and light seasonings for a chewy and savory dish.",Central,,Stir-fried dishes
Krapao Pla Pad Haeng,กระเพาะปลาผัดแห้ง,Stir-fried Dry Fish Maw,"Fish maw stir-fried without broth, cooked with vegetables, soy sauce, and garlic for a savory and chewy texture.",Central,,Stir-fried dishes
Kluai thot,กล้วยทอด,Kluai thot,Deep-fried bananas in a light batter.,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Kluai_thot.jpg/120px-Kluai_thot.jpg,Sweet snacks and desserts
Kuaichap,กวยจั๊บ,Kuaichap,"Originally a Teochew Chinese dish ( Chinese : 粿汁 ), it is a soup of pork broth with rolled up rice noodle sheets (resulting in rolls about the size of Italian penne), pork intestines, ""blood tofu"", and boiled egg.",,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Kuaichap.JPG/120px-Kuaichap.JPG,Noodle dishes
Karipap,กะหรี่ปั๊บ,Curry puff or Samosa,"In Thailand, Karipap is a popular street food snack that is commonly made by using spring roll wrappers. The filling contains chicken, potato, onion and curry powder. These flat and triangle shaped snacks are derived from the Indian samosas .",Central,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Burmese_style_samusa.jpg/120px-Burmese_style_samusa.jpg,Savoury snacks and starters
Kalumplee Pad Nam Pla,กะหล่ำปลีผัดน้ำปลา,Stir-fried Cabbage with Fish Sauce,"A simple yet flavorful stir-fry of cabbage with garlic and fish sauce, often served as a side dish.",Central,,Vegetable dishes
Krapao Pla Thot,กะเพราปลาทอด,Stir-fried Fried Fish with Holy Basil,"Crispy fried fish stir-fried with holy basil, garlic, and chili for a fragrant and spicy dish.",Central,,Deep-fried dishes
Krapao Moo Sap / Gai Sap,กะเพราหมูสับ/ไก่สับ,Stir-fried Minced Pork or Chicken with Holy Basil,"A classic Thai street food made with minced pork or chicken stir-fried with holy basil, chili, and garlic.",Central,,Stir-fried dishes
Kaphrao hoi lai,กะเพราหอยลาย,Stir-fried baby clams with thai holy basil,Undulated surf clam stir-fried with holy basil ( Ocimum tenuiflorum ),,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Kraphao_hoi_lai.jpg/120px-Kraphao_hoi_lai.jpg,Stir-fried dishes
Kafae boran,กาแฟโบราณ,Kafae boran,"Kafae boran literally translates to ""ancient/traditional coffee"". It is a strong coffee that is served with sweetened condensed milk , similar in taste to the kopi that is served at kopi tiam (traditional coffee shops) of Malaysia and Singapore. It is usually made with robusta coffee beans, by steeping the grounds inside a brewing ""sock"".",,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Kafae_boran_Chiang_Mai.jpg/120px-Kafae_boran_Chiang_Mai.jpg,Drinks
Goong Krabueang Roi Nga,กุ้งกระเบื้องโรยงา,Sesame Shrimp Toast,"Minced shrimp spread on crispy bread squares, topped with sesame seeds, and deep-fried until golden.",Central,,Savoury snacks and starters
Goong Kua Prik Kluea,กุ้งคั่วพริกเกลือ,Shrimp with Chili and Salt,"Juicy shrimp wok-fried with garlic, chili, and salt for a spicy, savory flavor.",Central,,Seafood dishes
Goong Sos Krim Manao,กุ้งซอสครีมมะนาว,Shrimp with Lemon Cream Sauce,Tender shrimp coated in a creamy lemon sauce that balances richness with citrus freshness.,Central,,Seafood dishes
Goong Thot Kratiem,กุ้งทอดกระเทียม,Fried Shrimp with Garlic,Shrimp fried until golden and tossed with crispy garlic for a fragrant and savory dish.,Central,,Seafood dishes
